id,name,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
63,Fuck Love (feat. Trippie Redd),0.797,0.533,-9.74,0.0412,0.0172,0.103,0.329,131.036,146520,4
64,In My Blood,0.622,0.712,-7.321,0.066,0.0573,0.13,0.487,140.025,211360,4
65,Silence,0.52,0.761,-3.093,0.0853,0.256,0.17,0.286,141.971,180823,4
66,God is a woman,0.602,0.658,-5.934,0.0558,0.0233,0.237,0.268,145.031,197547,4
67,D?jala que vuelva (feat. Manuel Turizo),0.681,0.788,-4.323,0.0785,0.0482,0.0753,0.839,170.019,220117,4
68,Flames,0.631,0.649,-5.892,0.0385,0.0817,0.0934,0.421,93.95,194680,4
69,What Lovers Do,0.799,0.597,-5.131,0.0611,0.0788,0.1,0.419,110.001,199849,4
70,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.841,0.798,-4.206,0.229,0.153,0.0618,0.591,95.948,212500,4
71,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.663,0.708,-4.154,0.0473,0.0337,0.0841,0.742,103.073,174800,4
72,Feel It Still,0.801,0.795,-5.115,0.0504,0.0417,0.0717,0.754,79.028,163253,4
73,Pray For Me (with Kendrick Lamar),0.735,0.677,-4.979,0.093,0.0762,0.111,0.188,100.584,211440,4
74,Walk It Talk It,0.909,0.628,-5.456,0.201,0.0739,0.108,0.406,145.905,276147,4
75,Him & I (with Halsey),0.589,0.731,-6.343,0.0868,0.0534,0.308,0.191,87.908,268867,4
76,Candy Paint,0.67,0.654,-5.944,0.153,0.627,0.071,0.438,180.024,227533,4
77,Congratulations,0.63,0.804,-4.183,0.0363,0.215,0.253,0.492,123.146,220293,4
78,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0.792,0.895,-3.112,0.0589,0.165,0.0501,0.794,94.968,201526,4
79,Criminal,0.814,0.813,-3.023,0.0561,0.03,0.255,0.839,79.997,232550,4
80,Plug Walk,0.876,0.519,-6.531,0.143,0.202,0.108,0.158,94.981,175230,4
81,lovely (with Khalid),0.351,0.296,-10.109,0.0333,0.934,0.095,0.12,115.284,200186,4
